x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,composite_m,cost_s
666.8144759,-526.8109672,849.8066489,33.4572861,42.25959197,37.85843904,249.8908746
666.8144759,526.8109672,849.8066489,33.47084099,42.25959197,37.86521648,249.9042885
669.2240053,-530.4243076,853.9383557,33.62231657,42.41335731,38.01783694,251.0326968
669.2240053,-525.3631758,850.8038762,33.56819536,42.46333706,38.01576621,250.4017025
669.2240053,525.3631758,850.8038762,33.58310144,42.46333706,38.02321925,250.4164536
669.2240053,530.4243076,853.9383557,33.63761044,42.41335731,38.02548388,251.0478316
670,-530,854.2833254,33.65827883,42.47804982,38.06816432,251.2012988
670,-525,851.190343,33.60531653,42.52833552,38.06682603,250.5800536
670,525,851.190343,33.62067579,42.52833552,38.07450566,250.5952531
670,530,854.2833254,33.67401823,42.47804982,38.07603402,251.2168746
671.6335348,-534.003978,858.0511952,33.78714183,42.5677868,38.17746431,252.1711997
671.6335348,-523.9153845,851.8092129,33.68067489,42.66926196,38.17496843,250.9178634
671.6335348,523.9153845,851.8092129,33.69696767,42.66926196,38.18311482,250.9339867
671.6335348,534.003978,858.0511952,33.80419397,42.5677868,38.18599038,252.1880745
674.0430642,-537.5506198,862.1454177,33.95178438,42.72284438,38.33731438,253.3064199
674.0430642,-522.4675931,852.82263,33.79476489,42.87738498,38.33607493,251.4394093
674.0430642,522.4675931,852.82263,33.81245541,42.87738498,38.34492019,251.4569159
674.0430642,537.5506198,862.1454177,33.97058957,42.72284438,38.34671697,253.3250296
675,-535,861.3071461,33.9742427,42.82103812,38.39764041,253.2581631
675,-530,858.2103472,33.92165808,42.87085271,38.3962554,252.6360621
675,-525,855.1315688,33.87100714,42.92489,38.39794857,252.0236576
675,525,855.1315688,33.88947896,42.92489,38.40718448,252.0419373
675,530,858.2103472,33.94049346,42.87085271,38.40567309,252.6547016
675,535,861.3071461,33.9934472,42.82103812,38.40724266,253.2771679
676.4525936,-541.0648525,866.2212685,34.11624253,42.87849624,38.49736938,254.4383715
676.4525936,-521.0198018,853.8440989,33.91048111,43.08772465,38.49910288,251.9663685
676.4525936,521.0198018,853.8440989,33.92958058,43.08772465,38.50865261,251.9852694
676.4525936,541.0648525,866.2212685,34.13679563,42.87849624,38.50764593,254.4587109
678.862123,-544.5472748,870.2789878,34.280507,43.03471058,38.65760879,255.5670617
678.862123,-519.5720104,854.8735907,34.02783951,43.30029969,38.6640696,252.4987695
678.862123,519.5720104,854.8735907,34.0483593,43.30029969,38.67432949,252.5190759
678.862123,544.5472748,870.2789878,34.30281092,43.03471058,38.66876075,255.5891337
680,-545,871.4499412,34.34492746,43.11878526,38.73185636,255.9482034
680,-540,868.3317338,34.29089738,43.1640782,38.72748779,255.3159157
680,-535,865.231183,34.23869041,43.21343048,38.72606044,254.6929805
680,-530,862.1484791,34.1884112,43.26695725,38.72768422,254.0796535
680,-525,859.0838143,34.14011077,43.3247781,38.73244443,253.4761419
680,-520,856.0373824,34.0938421,43.38701723,38.74042966,252.88266
680,520,856.0373824,34.11511155,43.38701723,38.75106439,252.9037082
680,525,859.0838143,34.16172087,43.3247781,38.74324948,253.4975273
680,530,862.1484791,34.21036785,43.26695725,38.73866255,254.1013818
680,535,865.231183,34.26099941,43.21343048,38.73721494,254.7150575
680,540,868.3317338,34.3135644,43.1640782,38.7388213,255.338347
680,545,871.4499412,34.36801355,43.11878526,38.74339941,255.9710494
681.2716525,-547.9984655,874.3188107,34.44442886,43.19145754,38.8179432,256.6923607
681.2716525,-518.1242191,855.9110765,34.14685623,43.51512905,38.83099264,253.0366413
681.2716525,518.1242191,855.9110765,34.16880788,43.51512905,38.84196847,253.0583647
681.2716525,547.9984655,874.3188107,34.46863455,43.19145754,38.83004605,256.7163146
683.6811819,-551.4189843,878.3409672,34.60816343,43.34870903,38.97843623,257.8144403
683.6811819,-516.6764278,856.9565272,34.26754756,43.73223186,38.99988971,253.5800131
683.6811819,516.6764278,856.9565272,34.29094281,43.73223186,39.01158734,253.6031651
683.6811819,551.4189843,878.3409672,34.63426589,43.34870903,38.99148746,257.8402713
685,-550,878.4787988,34.66157894,43.46228478,39.06193186,258.0072614
685,-545,875.35707,34.60800204,43.50716874,39.05758539,257.3743131
685,-540,872.2528303,34.55629753,43.55606724,39.05618238,256.7506884
685,-535,869.1662672,34.50648075,43.60909309,39.05778692,256.1365514
685,-530,866.0975696,34.45854527,43.66636341,39.06245434,255.5320497
685,-525,863.046928,34.41263456,43.72799979,39.07031717,254.9374835
685,-520,860.0145348,34.36880305,43.79412851,39.08146578,254.3530702
685,520,860.0145348,34.39325463,43.79412851,39.09369157,254.3772675
685,525,863.046928,34.4374091,43.72799979,39.08270444,254.9620004
685,530,866.0975696,34.48364892,43.66636341,39.07500617,255.5568923
685,535,869.1662672,34.53191954,43.60909309,39.07050632,256.1617257
685,540,872.2528303,34.58216842,43.55606724,39.06911783,256.7762902
685,545,875.35707,34.63434494,43.50716874,39.07075684,257.4003821
685,550,878.4787988,34.68840033,43.46228478,39.07534255,258.0338039
686.0907113,-554.8093731,882.3456832,34.77171029,43.50643864,39.13907446,258.9333192
686.0907113,-515.2286364,858.0099136,34.38993003,43.9516275,39.17077877,254.1289145
686.0907113,515.2286364,858.0099136,34.41478078,43.9516275,39.18320414,254.1535069
686.0907113,554.8093731,882.3456832,34.79970465,43.50643864,39.15307164,258.9610225
688.5002408,-558.1701563,886.3331794,34.93506932,43.66462151,39.29984541,260.0490168
688.5002408,-513.7808451,859.0712068,34.51402035,44.17333554,39.34367795,254.6833758
688.5002408,513.7808451,859.0712068,34.54033868,44.17333554,39.35683711,254.7094205
688.5002408,558.1701563,886.3331794,34.96495076,43.66462151,39.31478613,260.0785875
690,-560,888.6506625,35.03388651,43.76520783,39.39954717,260.7098435
690,-555,885.5083286,34.97887105,43.80582611,39.39234858,260.0671292
690,-550,882.3831367,34.92567609,43.85030847,39.38799228,259.4334689
690,-545,879.2752698,34.87434812,43.8987615,39.38655481,258.8090504
690,-540,876.184912,34.8249353,43.95129576,39.38811553,258.1940678
690,-535,873.1122494,34.77748763,44.00802597,39.3927568,257.5887213
690,-530,870.0574694,34.73205696,44.06907118,39.40056407,256.9932175
690,-525,867.020761,34.68858537,44.13455503,39.4115702,256.4076592
690,-520,864.0023148,34.64723121,44.20460591,39.42591856,255.8323683
690,-515,861.0023229,34.60806268,44.27935723,39.44370996,255.2675827
690,515,861.0023229,34.63542514,44.27935723,39.45739119,255.2946606
690,520,864.0023148,34.67489196,44.20460591,39.43974893,255.8597414
690,525,867.020761,34.71655094,44.13455503,39.42555299,256.435334
690,530,870.0574694,34.76034389,44.06907118,39.41470754,257.0212103
690,535,873.1122494,34.80621475,44.00802597,39.40712036,257.6171497
690,540,876.184912,34.85410958,43.95129576,39.40270267,258.2229387
690,545,879.2752698,34.90397638,43.8987615,39.40136894,258.8383706
690,550,882.3831367,34.95576506,43.85030847,39.40303676,259.4632449
690,555,885.5083286,35.0094273,43.80582611,39.40762671,260.0973677
690,560,888.6506625,35.06491652,43.76520783,39.41506218,260.7405508
690.9097702,-561.5018418,890.3036723,35.0982406,43.82323422,39.46073741,261.1615534
690.9097702,-512.3330537,860.1403772,34.63983541,44.39737578,39.51860559,255.2434272
690.9097702,512.3330537,860.1403772,34.66763358,44.39737578,39.53250468,255.2709363
690.9097702,561.5018418,890.3036723,35.13000438,43.82323422,39.4766193,261.1929869
693.3192996,-564.8049216,894.2573738,35.26113999,43.98225476,39.62169737,262.2708661
693.3192996,-510.8852624,861.2173956,34.7673923,44.62376824,39.69558027,255.8090998
693.3192996,510.8852624,861.2173956,34.79668277,44.62376824,39.7102255,255.8380857
693.3192996,564.8049216,894.2573738,35.29486593,43.98225476,39.63856035,262.3042414
695,-565,895.6840961,35.3512715,44.10914356,39.73020753,262.7709742
695,-560,892.5385146,35.29670474,44.14940823,39.72305649,262.1277046
695,-555,889.4099167,35.24395288,44.19349614,39.71872451,261.4934112
695,-550,886.2984825,35.19301517,44.24151179,39.71726348,260.8682326
695,-545,883.2043931,35.14397201,44.29356353,39.71876777,260.252392
695,-540,880.1278316,35.0968876,44.34976375,39.72332568,259.6461008
695,-535,877.0689825,35.05181324,44.41022908,39.73102116,259.0495619
695,-530,874.0280316,35.00880217,44.47508054,39.74194136,258.462985
695,-525,871.0051665,34.96790968,44.5444438,39.75617674,257.8865867
695,-520,868.000576,34.92913318,44.61844939,39.77379129,257.3205313
695,-515,865.0144507,34.89253307,44.69723292,39.79488299,256.7650511
695,-510,862.0469825,34.85823141,44.78093536,39.81958339,256.2204445
695,510,862.0469825,34.88857697,44.78093536,39.83475617,256.2504745
695,515,865.0144507,34.92315106,44.69723292,39.81019199,256.7953507
695,520,868.000576,34.96003058,44.61844939,39.78923999,257.3511075
695,525,871.0051665,34.99915339,44.5444438,39.77179859,257.9175055
695,530,874.0280316,35.04045968,44.47508054,39.75777011,258.4943133
695,535,877.0689825,35.08389192,44.41022908,39.7470605,259.081307
695,540,880.1278316,35.12939469,44.34976375,39.73957922,259.6782698
695,545,883.2043931,35.1769146,44.29356353,39.73523906,260.2849921
695,550,886.2984825,35.22640023,44.24151179,39.73395601,260.9012705
695,555,889.4099167,35.27780197,44.19349614,39.73564906,261.5269083
695,560,892.5385146,35.331072,44.14940823,39.74024012,262.1617145
695,565,895.6840961,35.38616417,44.10914356,39.74765386,262.8055041
695.728829,-568.0798729,898.194492,35.42381984,44.14166237,39.7827411,263.3770281
695.728829,-509.437471,862.3022326,34.89668424,44.85229229,39.87448826,256.3801624
695.728829,509.437471,862.3022326,34.92747965,44.85229229,39.88988597,256.4106376
695.728829,568.0798729,898.194492,35.45953599,44.14166237,39.80059918,263.4123728
698.1383585,-571.327158,902.1152305,35.58631354,44.30143748,39.94387551,264.4800935
698.1383585,-507.9896797,863.3948589,35.02749889,45.08067011,40.0540845,256.9541452
698.1383585,507.9896797,863.3948589,35.05981208,45.08067011,40.0702411,256.9861223
698.1383585,571.327158,902.1152305,35.62401533,44.30143748,39.96272641,264.5174032
700,-570,902.7181177,35.66917361,44.45311292,40.06114327,264.8327676
700,-565,899.5693414,35.61499127,44.49303014,40.0540107,264.1888956
700,-560,896.4373932,35.56261886,44.53673058,40.04967472,263.5539242
700,-555,893.3224502,35.51210196,44.5843167,40.04820933,262.9280353
700,-550,890.2246907,35.46348779,44.63589474,40.04969127,262.3114164
