x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,composite_m,cost_s
666.8144759,-526.8109672,849.8066489,71.94889784,131.5835836,101.7662407,344.6718739
666.8144759,526.8109672,849.8066489,71.94889784,131.5835836,101.7662407,344.6718739
669.2240053,-530.4243076,853.9383557,71.63023082,130.7648626,101.1975467,344.5498323
669.2240053,-525.3631758,850.8038762,71.83248859,131.4123395,101.622414,344.6314667
669.2240053,525.3631758,850.8038762,71.83248859,131.4123395,101.622414,344.6314667
669.2240053,530.4243076,853.9383557,71.63023082,130.7648626,101.1975467,344.5498323
670,-530,854.2833254,71.59106884,130.7039759,101.1475224,344.5354032
670,-525,851.190343,71.79090206,131.3439323,101.5674172,344.6170446
670,525,851.190343,71.79090206,131.3439323,101.5674172,344.6170446
670,530,854.2833254,71.59106884,130.7039759,101.1475224,344.5354032
671.6335348,-534.003978,858.0511952,71.31763645,129.9451431,100.6313898,344.4282482
671.6335348,-523.9153845,851.8092129,71.7165565,131.2422772,101.4794169,344.5940647
671.6335348,523.9153845,851.8092129,71.7165565,131.2422772,101.4794169,344.5940647
671.6335348,534.003978,858.0511952,71.31763645,129.9451431,100.6313898,344.4282482
674.0430642,-537.5506198,862.1454177,71.01271556,129.139529,100.0761223,344.3211005
674.0430642,-522.4675931,852.82263,71.60108643,131.0727359,101.3369112,344.5590984
674.0430642,522.4675931,852.82263,71.60108643,131.0727359,101.3369112,344.5590984
674.0430642,537.5506198,862.1454177,71.01271556,129.139529,100.0761223,344.3211005
675,-535,861.3071461,71.04055225,129.316668,100.1786101,344.3243601
675,-530,858.2103472,71.2321374,129.9535404,100.5928389,344.3957892
675,-525,855.1315688,71.42991135,130.6029122,101.0164118,344.4864052
675,525,855.1315688,71.42991135,130.6029122,101.0164118,344.4864052
675,530,858.2103472,71.2321374,129.9535404,100.5928389,344.3957892
675,535,861.3071461,71.04055225,129.316668,100.1786101,344.3243601
676.4525936,-541.0648525,866.2212685,70.71507058,128.3479104,99.5314905,344.228015
676.4525936,-521.0198018,853.8440989,71.48599097,130.9025352,101.1942631,344.525505
676.4525936,521.0198018,853.8440989,71.48599097,130.9025352,101.1942631,344.525505
676.4525936,541.0648525,866.2212685,70.71507058,128.3479104,99.5314905,344.228015
678.862123,-544.5472748,870.2789878,70.4240691,127.5680777,98.9960734,344.1466702
678.862123,-519.5720104,854.8735907,71.37131233,130.7311625,101.0512374,344.4928865
678.862123,519.5720104,854.8735907,71.37131233,130.7311625,101.0512374,344.4928865
678.862123,544.5472748,870.2789878,70.4240691,127.5680777,98.9960734,344.1466702
680,-545,871.4499412,70.32993767,127.346488,98.83821286,344.1176046
680,-540,868.3317338,70.5063441,127.9522178,99.22928093,344.1461281
680,-535,865.231183,70.68874527,128.5714084,99.63007683,344.1944055
680,-530,862.1484791,70.87671623,129.2008356,100.0387759,344.2594321
680,-525,859.0838143,71.07110702,129.8459915,100.4585493,344.3465344
680,-520,856.0373824,71.27206546,130.5050539,100.8885597,344.4543552
680,520,856.0373824,71.27206546,130.5050539,100.8885597,344.4543552
