x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,max_diameter_m,composite_m,pareto
225.0,175.0,285.0438562747845,25.007839996725057,44.30689178603863,46.19319979500086,34.65736589138184,0
250.0,175.0,305.16389039334257,23.246924020274065,40.196008930077525,42.18764856299359,31.721466475175795,0
275.0,175.0,325.96012026013244,21.809006591407083,36.58232197176596,38.492838184880966,29.19566428158652,0
200.0,200.0,282.842712474619,25.878984960494044,45.063853123445156,46.69710726640997,35.4714190419696,0
225.0,200.0,301.0398644698074,24.081064070248445,41.214941297735706,42.92589854961812,32.648002683992075,1
250.0,200.0,320.1562118716424,22.554228571788176,37.76114024927611,39.42372458861685,30.15768441053214,0
275.0,200.0,340.03676271838606,21.300941737060153,34.69949502084056,36.402229141049595,28.000218378950358,0
300.0,200.0,360.5551275463989,20.35250595471765,31.834343694912686,33.315268950112255,26.093424824815166,0
325.0,200.0,381.6084380618437,19.745593997582745,29.14097221150991,30.630928534330867,24.443283104546328,0
150.0,225.0,270.4163456597992,28.967563493701107,49.49746333981692,51.087468203656364,39.23251341675901,0
175.0,225.0,285.0438562747845,26.93583731143019,45.97938003728306,47.54260706752218,36.45760867435662,0
200.0,225.0,301.0398644698074,25.110645737242457,42.371917074796386,43.99711516312207,33.741281406019425,0
225.0,225.0,318.1980515339464,23.522068800805794,39.043914291085365,40.34787159828478,31.282991545945578,0
250.0,225.0,336.34060117684277,22.171729789968317,36.113114828819974,37.71270230249368,29.142422309394146,0
275.0,225.0,355.31676008879737,21.053693221360806,33.347957222203625,34.863797108827285,27.200825221782218,0
300.0,225.0,375.0,20.209662935476643,30.78667501605002,32.21562782232843,25.49816897576333,0
325.0,225.0,395.28470752104744,19.665146282659748,28.331866472339474,29.540463337860714,23.99850637749961,0
350.0,225.0,416.08292442733097,19.419700182164625,26.27960292071193,27.470082115060748,22.849651551438278,0
100.0,250.0,269.2582403567252,32.3598645869852,53.57110741613169,55.37086248423983,42.965486001558446,0
125.0,250.0,279.5084971874737,30.142902031839835,50.20695566553815,51.81634581736061,40.17492884868899,0
150.0,250.0,291.547594742265,28.115648951507637,46.92889214603681,48.373561985154204,37.52227054877223,0
175.0,250.0,305.16389039334257,26.284766883528043,43.65200584355836,45.22316394159389,34.9683863635432,0
200.0,250.0,320.1562118716424,24.644282914924894,40.4151484825936,41.77690111055159,32.52971569875925,0
225.0,250.0,336.34060117684277,23.223781874122103,37.572526659026344,39.121136068222924,30.398154266574224,0
250.0,250.0,353.5533905932738,22.0048655783543,34.88894254003117,36.31229280159115,28.446904059192732,0
275.0,250.0,371.6517186829626,20.991126404961406,32.39016886842632,33.67555553971368,26.690647636693864,0
300.0,250.0,390.51248379533274,20.22847401248911,30.04115723437697,31.372795465839275,25.13481562343304,0
325.0,250.0,410.03048667141815,19.73796951507406,27.827208940810298,28.931412700615564,23.78258922794218,0
350.0,250.0,430.11626335213134,19.51735528157352,25.97472056858093,27.069416297247706,22.746037925077225,0
375.0,250.0,450.6939094329987,19.598581319364385,25.369597261256104,27.47857888031979,22.484089290310244,1
400.0,250.0,471.6990566028302,19.981458463493727,26.765601921098103,30.14273004377857,23.373530192295917,0
75.0,275.0,285.0438562747845,33.593303458917276,54.30570165829553,56.13622753390676,43.949502558606405,0
100.0,275.0,292.61749776799064,31.41986922621937,51.04897464319217,52.76376647915474,41.234421934705765,0
125.0,275.0,302.0761493398643,29.397596518773646,47.92141893550674,49.48283949971461,38.659507727140195,0
150.0,275.0,313.2491021535417,27.55684242950076,44.94053470615433,46.379548978505916,36.24868856782754,0
175.0,275.0,325.96012026013244,25.88486421705636,41.836146213977905,43.2488008479279,33.860505215517136,0
200.0,275.0,340.03676271838606,24.40114955656297,39.04229032079429,40.208529422931896,31.72171993867863,0
225.0,275.0,355.31676008879737,23.108462191231943,36.47308318829709,37.91115417681187,29.790772689764516,0
250.0,275.0,371.6517186829626,21.993768867920608,34.00592815078064,35.34293274243775,27.999848509350624,0
275.0,275.0,388.90872965260115,21.069050409898963,31.733814634998037,32.79199296695962,26.401432522448502,0
300.0,275.0,406.97051490249265,20.368965544851065,29.545768555946353,30.82392529958543,24.95736705039871,0
325.0,275.0,425.73465914816,19.923783337986166,27.537728748049442,28.619536149986946,23.730756043017806,0
350.0,275.0,445.1123453691214,19.720093690112027,25.871915062591704,26.87253257654077,22.796004376351867,0
375.0,275.0,465.02688094345683,19.79223847637926,25.060982622984913,26.64438419023798,22.42661054968209,0
400.0,275.0,485.41219597368996,20.13755628628614,26.023205208641283,29.064425746605252,23.080380747463714,0
425.0,275.0,506.2114182829147,20.75045278119771,28.369820852330633,31.64650593158649,24.56013681676417,0
450.0,275.0,527.3755777432247,21.66772132706525,30.878802239150737,34.39083798640575,26.273261783107994,0
25.0,300.0,301.0398644698074,37.14535439063829,58.358126353643264,60.32376813510649,47.75174037214077,0
50.0,300.0,304.138126514911,34.88372857838802,55.16809226243054,56.724382184216516,45.02591042040928,0
75.0,300.0,309.23292192132453,32.75370567075587,52.00081790548511,53.73027025661793,42.37726178812049,0
100.0,300.0,316.22776601683796,30.754892162729995,48.96301995929997,50.49784861238193,39.85895606101498,0
125.0,300.0,325.0,28.901283954793016,46.128882201335436,47.48214122808764,37.51508307806422,0
150.0,300.0,335.4101966249685,27.212265718403593,43.331257647284794,44.75595750525797,35.27176168284419,0
175.0,300.0,347.3110997362451,25.68006161646273,40.53901470294268,41.80885142048431,33.10953815970271,0
200.0,300.0,360.5551275463989,24.322402984603603,38.042570654026136,39.404696709010516,31.182486819314867,0
225.0,300.0,375.0,23.128497879136138,35.62792720584843,36.86176290412379,29.378212542492285,0
250.0,300.0,390.51248379533274,22.102602130430203,33.369982576743816,34.55768487956656,27.73629235358701,0
275.0,300.0,406.97051490249265,21.25112965821351,31.27313517554291,32.43419429815836,26.26213241687821,0
300.0,300.0,424.26406871192853,20.60512869800541,29.25513133668823,30.398241227357687,24.93013001734682,0
325.0,300.0,442.2951503238533,20.195205942949045,27.420580406672276,28.47850019022046,23.80789317481066,0
350.0,300.0,460.9772228646444,20.003512637030628,25.884323655264165,26.825204473546556,22.943918146147396,0
375.0,300.0,480.23431780746364,20.06881431737238,24.94943474894244,26.09600129467529,22.50912453315741,0
400.0,300.0,500.0,20.382577767981626,25.59673516335392,28.31298251262153,22.98965646566777,0
425.0,300.0,520.2163011671203,20.940997820413244,27.698235370051272,30.678240382296202,24.319616595232258,0
450.0,300.0,540.8326913195984,21.78240219298321,29.997055783997308,33.19195535439318,25.88972898849026,0
475.0,300.0,561.8051263561058,22.905762939837558,32.44342653310518,35.85430810875552,27.67459473647137,0
0.0,325.0,325.0,38.43537925213071,59.18996346422237,61.164265402582,48.812671358176544,0
25.0,325.0,325.96012026013244,36.22439773245329,56.11881127801031,57.85464552991619,46.1716045052318,0
50.0,325.0,328.8236609491476,34.127702102706635,53.08766857244282,54.735666310841104,43.60768533757473,0
75.0,325.0,333.54160160315837,32.15550000023157,50.116157030189825,51.7679433455738,41.1358285152107,0
100.0,325.0,340.03676271838606,30.3107336588386,47.35640150287067,48.910758122088886,38.833567580854634,0
125.0,325.0,348.209706929603,28.60078276483382,44.7276992456918,45.94350864079809,36.66424100526281,0
150.0,325.0,357.94552658190884,27.03496697925463,42.08310175458018,43.45694617599292,34.5590343669174,0
175.0,325.0,369.120576505835,25.623308265467024,39.60757881767593,40.74355662660872,32.61544354157148,0
200.0,325.0,381.6084380618437,24.36535687426276,37.27254981243583,38.539007625682984,30.818953343349293,0
225.0,325.0,395.28470752104744,23.25878181153675,35.050593379068104,36.0456614849919,29.154687595302427,0
250.0,325.0,410.03048667141815,22.308010387626286,32.953513342627076,33.98406225204701,27.63076186512668,0
275.0,325.0,425.73465914816,21.515921786825906,30.97747109229298,32.13284832277935,26.246696439559443,0
300.0,325.0,442.2951503238533,20.915285311723984,29.112646799690236,30.04531942708067,25.013966055707108,0
325.0,325.0,459.6194077712559,20.53299611471841,27.44385577056237,28.46779881420885,23.98842594264039,0
350.0,325.0,477.62432936357,20.35235111989028,26.00641900584388,26.891674756032458,23.17938506286708,0
375.0,325.0,496.2358310319802,20.411102933151888,24.989662504815538,25.767155109993872,22.70038271898371,0
400.0,325.0,515.3882032022076,20.698796158231808,25.407615768912276,27.812576972555924,23.05320596357204,0
425.0,325.0,535.0233639758175,21.20930488440285,27.263514088155148,29.994665045202364,24.236409486279,0
450.0,325.0,555.0900827793629,21.987166932205525,29.38479289959789,32.31357459712839,25.685979915901708,0
475.0,325.0,575.5432216610669,23.0289160116468,31.642120645093744,34.769460553411385,27.33551832837027,0
500.0,325.0,596.3430220938282,24.384181458931586,34.03546147388664,37.362477913585856,29.209821466409114,0
525.0,325.0,617.4544517614235,25.932946179964627,36.56477367650941,40.092782030547994,31.248859928237017,0
0.0,350.0,350.0,37.59850627709585,57.17207142058265,58.89979524435966,47.38528884883925,0
25.0,350.0,350.891721190455,35.53857876172884,54.25729104093912,55.86357613723329,44.89793490133398,0
50.0,350.0,353.5533905932738,33.58290320883505,51.34441149434075,52.87971611460308,42.4636573515879,0
75.0,350.0,357.94552658190884,31.751587033902034,48.59832085182692,50.15289948421415,40.17495394286448,0
100.0,350.0,364.0054944640259,30.03746534146718,46.06224175144954,47.46256620506744,38.04985354645836,0
125.0,350.0,371.6517186829626,28.44773126872316,43.58445272888995,44.85427964414962,36.01609199880656,0
150.0,350.0,380.7886552931954,26.99254170711557,41.17422047311557,42.45635711246994,34.083381090115566,0
175.0,350.0,391.3118960624632,25.68280551098517,38.91429668014305,40.108222261519096,32.29855109556411,0
200.0,350.0,403.11288741492746,24.505139259897813,36.68764737995719,37.76442872680304,30.5963933199275,0
225.0,350.0,416.08292442733097,23.47636413480229,34.65118424446902,35.74425683499109,29.063774189635655,0
250.0,350.0,430.11626335213134,22.58848327688514,32.68402600415072,33.790430608366364,27.636254640517926,0
275.0,350.0,445.1123453691214,21.846757729602302,30.817238335917853,31.899199730794837,26.331998032760076,0
300.0,350.0,460.9772228646444,21.283614505690036,29.08787003542074,29.965349517957108,25.185742270555387,0
325.0,350.0,477.62432936357,20.92609503093022,27.56282025694402,28.559332173097015,24.244457643937118,0
350.0,350.0,494.9747468305833,20.754573082549033,26.2061284001652,27.047469453982647,23.480350741357114,0
375.0,350.0,512.9571132170797,20.806903931575434,25.150792606707142,25.795913160528546,22.978848269141288,0
400.0,350.0,531.5072906367325,21.069198228653818,25.38857379936001,27.509155275131445,23.228886014006914,0
425.0,350.0,550.567888638631,21.54215859753824,27.014758438570194,29.534457469940527,24.278458518054215,0
450.0,350.0,570.087712549569,22.26584775798954,28.984086186387906,31.686634702355214,25.624966972188723,0
475.0,350.0,590.0211860602973,23.237777978094996,31.079598259350945,33.96582166336915,27.15868811872297,0
