suite=approach  cases=200  directional_prob=0.5
variant                  perfect    mean_s  paired_dt     ±se      rel     req
--------------------------------------------------------------------------------
r085_s400               200/200     7716.9         --      --       --   390.0
r90_s400                200/200     7725.2       +8.2     8.7   +0.11%   389.6
r80_s400                200/200     7707.1       -9.8     8.9   -0.13%   390.8
r85_s300                200/200     7615.8     -101.1    14.8   -1.31%   389.8
r85_s600                200/200     7856.1     +139.2    18.1   +1.80%   389.6
r90_s600                200/200     7876.0     +159.1    18.7   +2.06%   389.4
r95_s400                200/200     7736.0      +19.0     8.7   +0.25%   389.1
r90_s800                200/200     8043.9     +327.0    20.1   +4.24%   390.6
r85_s800                200/200     8019.1     +302.1    19.7   +3.92%   391.2
