suite=approach_fine  cases=250  directional_prob=0.5
variant                  perfect    mean_s  paired_dt     ±se      rel     req
--------------------------------------------------------------------------------
r085_s400               250/250     7727.0         --      --       --   389.0
r85_s300                250/250     7620.4     -106.7    13.8   -1.38%   388.8
r85_s250                250/250     7589.9     -137.1    13.3   -1.77%   391.3
r85_s200                250/250     7550.2     -176.8    14.7   -2.29%   392.9
r85_s150                250/250     7519.0     -208.0    15.7   -2.69%   397.1
r75_s300                250/250     7601.4     -125.6    14.7   -1.63%   390.0
r70_s300                250/250     7607.1     -119.9    14.1   -1.55%   390.8
r80_s300                250/250     7615.5     -111.5    14.3   -1.44%   389.4
r90_s300                250/250     7618.8     -108.2    13.6   -1.40%   388.3
