suite=fine2  cases=250  directional_prob=0.5
variant                  perfect    mean_s  paired_dt     ±se      rel     req
--------------------------------------------------------------------------------
v300_s400               250/250     7727.0         --      --       --   389.0
v300_s150               250/250     7519.0     -208.0    15.7   -2.69%   397.1
v300_s100               250/250     7538.6     -188.4    14.8   -2.44%   408.9
v300_s80                250/250     7543.5     -183.5    15.3   -2.38%   415.6
v300_s50                250/250     7661.1      -66.0    15.9   -0.85%   443.1
v700_s400               250/250     7331.9     -395.1    36.5   -5.11%   405.0
v700_s300               250/250     7344.5     -382.5    36.5   -4.95%   406.9
v700_s250               250/250     7350.0     -377.0    36.8   -4.88%   407.7
v700_s200               250/250     7353.3     -373.7    35.9   -4.84%   408.6
v700_s150               250/250     7378.6     -348.4    36.2   -4.51%   412.0
v700_s100               250/250     7407.1     -319.9    36.4   -4.14%   417.7
