suite=lateral  cases=200  directional_prob=0.5
variant                  perfect    mean_s  paired_dt     ±se      rel     req
--------------------------------------------------------------------------------
phi0_L300               200/200     7716.9         --      --       --   390.0
phi15_L300              200/200     7537.2     -179.8    24.8   -2.33%   387.3
phi30_L300              200/200     7556.6     -160.4    28.2   -2.08%   387.7
phi45_L300              200/200     7621.2      -95.8    31.3   -1.24%   388.5
phi60_L300              200/200     7702.3      -14.6    31.2   -0.19%   388.8
phi90_L300              200/200     7882.8     +165.9    32.0   +2.15%   394.8
phi30_L500              200/200     7436.5     -280.5    42.2   -3.63%   403.2
phi45_L500              200/200     7480.0     -237.0    43.9   -3.07%   402.9
phi45_L800              200/200     7528.2     -188.7    45.0   -2.45%   413.3
