suite=verify_fine  cases=300  directional_prob=0.5
variant                  perfect    mean_s  paired_dt     ±se      rel     req
--------------------------------------------------------------------------------
v-300                   300/300     7725.9         --      --       --   388.7
v-500                   300/300     7394.6     -331.3    34.8   -4.29%   399.7
v-600                   300/300     7402.0     -324.0    35.0   -4.19%   400.7
v-700                   300/300     7332.4     -393.5    34.3   -5.09%   405.5
v-800                   300/300     7343.3     -382.6    34.8   -4.95%   406.0
v-1000                  300/300     7350.1     -375.8    34.9   -4.86%   406.1
v-1200                  300/300     7354.8     -371.2    35.1   -4.80%   406.1
v-1500                  300/300     7361.5     -364.5    35.6   -4.72%   406.2
v-2000                  300/300     7367.1     -358.8    35.6   -4.64%   406.2
